NO_OF_FRAMES	1000
NO_OF_DATA_TYPES	1
FREQUENCY	100
TIME_STAMP	2025-03-04, 13:11:41
DATA_INCLUDED	Angle
DATA_TYPES	KL_Angle

Frame	Time	KL_Angle	
1	0.00000	0.000
2	0.01000	0.000
3	0.02000	0.000
4	0.03000	0.000
5	0.04000	0.000
6	0.05000	0.000
7	0.06000	0.000
8	0.07000	0.000
9	0.08000	0.000
10	0.09000	0.000
11	0.10000	0.000
12	0.11000	0.000
13	0.12000	0.000
14	0.13000	0.000
15	0.14000	0.000
16	0.15000	0.000
17	0.16000	0.000
18	0.17000	0.000
19	0.18000	0.000
20	0.19000	0.000
21	0.20000	0.000
22	0.21000	0.000
23	0.22000	0.000
24	0.23000	0.000
25	0.24000	0.000
26	0.25000	0.000
27	0.26000	0.000
28	0.27000	0.000
29	0.28000	0.000
30	0.29000	0.000
31	0.30000	0.000
32	0.31000	0.000
33	0.32000	0.000
34	0.33000	0.000
35	0.34000	0.000
36	0.35000	0.000
37	0.36000	0.000
38	0.37000	0.000
39	0.38000	0.000
40	0.39000	0.000
41	0.40000	0.000
42	0.41000	0.000
43	0.42000	0.000
44	0.43000	0.000
45	0.44000	0.000
46	0.45000	0.000
47	0.46000	0.000
48	0.47000	0.000
49	0.48000	0.000
50	0.49000	0.000
51	0.50000	0.000
52	0.51000	0.000
53	0.52000	0.000
54	0.53000	0.000
55	0.54000	0.000
56	0.55000	0.000
57	0.56000	0.000
58	0.57000	0.000
59	0.58000	0.000
60	0.59000	0.000
61	0.60000	0.000
62	0.61000	0.000
63	0.62000	0.000
64	0.63000	0.000
65	0.64000	0.000
66	0.65000	0.000
67	0.66000	0.000
68	0.67000	0.000
69	0.68000	0.000
70	0.69000	0.000
71	0.70000	0.000
72	0.71000	0.000
73	0.72000	0.000
74	0.73000	0.000
75	0.74000	0.000
76	0.75000	0.000
77	0.76000	0.000
78	0.77000	0.000
79	0.78000	0.000
80	0.79000	0.000
81	0.80000	0.000
82	0.81000	0.000
83	0.82000	0.000
84	0.83000	0.000
85	0.84000	0.000
86	0.85000	0.000
87	0.86000	0.000
88	0.87000	0.000
89	0.88000	0.000
90	0.89000	0.000
91	0.90000	0.000
92	0.91000	0.000
93	0.92000	0.000
94	0.93000	0.000
95	0.94000	0.000
96	0.95000	0.000
97	0.96000	0.000
98	0.97000	0.000
99	0.98000	0.000
100	0.99000	0.000
101	1.00000	0.000
102	1.01000	0.000
103	1.02000	0.000
104	1.03000	0.000
105	1.04000	0.000
106	1.05000	0.000
107	1.06000	0.000
108	1.07000	0.000
109	1.08000	0.000
110	1.09000	0.000
111	1.10000	0.000
112	1.11000	0.000
113	1.12000	0.000
114	1.13000	0.000
115	1.14000	0.000
116	1.15000	0.000
117	1.16000	0.000
118	1.17000	0.000
119	1.18000	0.000
120	1.19000	0.000
121	1.20000	0.000
122	1.21000	0.000
123	1.22000	0.000
124	1.23000	0.000
125	1.24000	0.000
126	1.25000	0.000
127	1.26000	0.000
128	1.27000	0.000
129	1.28000	0.000
130	1.29000	0.000
131	1.30000	0.000
132	1.31000	0.000
133	1.32000	0.000
134	1.33000	0.000
135	1.34000	0.000
136	1.35000	0.000
137	1.36000	0.000
138	1.37000	0.000
139	1.38000	0.000
140	1.39000	0.000
141	1.40000	0.000
142	1.41000	0.000
143	1.42000	0.000
144	1.43000	0.000
145	1.44000	0.000
146	1.45000	0.000
147	1.46000	0.000
148	1.47000	0.000
149	1.48000	0.000
150	1.49000	0.000
151	1.50000	0.000
152	1.51000	0.000
153	1.52000	0.000
154	1.53000	0.000
155	1.54000	0.000
156	1.55000	0.000
157	1.56000	0.000
158	1.57000	0.000
159	1.58000	0.000
160	1.59000	0.000
161	1.60000	0.000
162	1.61000	0.000
163	1.62000	0.000
